dataset,k,d_eff,num_classes,n_canonical_corrs,top_1_canonical_corr,top_5_canonical_corr,top_10_canonical_corr,mean_canonical_corr
amazon-computers,1,767,10,9,0.935702,0.898324,0.851162,0.851162
amazon-computers,2,767,10,9,0.951283,0.925961,0.887935,0.887935
amazon-computers,4,767,10,9,0.948821,0.926406,0.888991,0.888991
amazon-computers,6,767,10,9,0.948373,0.925949,0.88808,0.88808
amazon-computers,8,767,10,9,0.948084,0.925689,0.887468,0.887468
amazon-computers,10,767,10,9,0.947875,0.925564,0.887091,0.887091
amazon-computers,12,767,10,9,0.947735,0.925491,0.886843,0.886843
amazon-computers,20,767,10,9,0.947443,0.925377,0.886663,0.886663
amazon-computers,30,761,10,9,0.947168,0.925082,0.886336,0.886336
amazon-photo,1,745,8,7,0.947259,0.925296,0.901385,0.901385
amazon-photo,2,745,8,7,0.963069,0.944969,0.924841,0.924841
amazon-photo,4,745,8,7,0.96273,0.943566,0.922677,0.922677
amazon-photo,6,745,8,7,0.962309,0.943026,0.921963,0.921963
amazon-photo,8,745,8,7,0.962117,0.942671,0.921681,0.921681
amazon-photo,10,745,8,7,0.962086,0.94241,0.921529,0.921529
amazon-photo,12,745,8,7,0.962111,0.942221,0.921414,0.921414
amazon-photo,20,745,8,7,0.962198,0.941779,0.921124,0.921124
amazon-photo,30,480,8,7,0.954387,0.92868,0.903392,0.903392
citeseer,1,2035,6,5,1.0,1.0,1.0,1.0
citeseer,2,2035,6,5,1.0,1.0,1.0,1.0
citeseer,4,2033,6,5,1.0,1.0,1.0,1.0
citeseer,6,1989,6,5,1.0,1.0,1.0,1.0
citeseer,8,1897,6,5,1.0,1.0,1.0,1.0
citeseer,10,1782,6,5,1.0,1.0,1.0,1.0
citeseer,12,1653,6,5,1.0,1.0,1.0,1.0
citeseer,20,1246,6,5,1.0,1.0,1.0,1.0
citeseer,30,900,6,5,1.0,1.0,1.0,1.0
coauthor-cs,1,6803,15,14,0.986358,0.979342,0.973394,0.965896
coauthor-cs,2,6803,15,14,0.991554,0.982229,0.976462,0.96906
coauthor-cs,4,6803,15,14,0.993355,0.982685,0.976333,0.968875
coauthor-cs,6,6803,15,14,0.993929,0.982911,0.976274,0.968782
coauthor-cs,8,6803,15,14,0.994093,0.983054,0.976256,0.968696
coauthor-cs,10,6803,15,14,0.994147,0.983146,0.976269,0.968636
coauthor-cs,12,6803,15,14,0.994177,0.983203,0.976271,0.968575
coauthor-cs,20,6210,15,14,0.99343,0.980102,0.971794,0.962555
coauthor-cs,30,4117,15,14,0.983221,0.965279,0.953902,0.938352
coauthor-physics,1,7697,5,4,0.974028,0.959826,0.959826,0.959826
coauthor-physics,2,7697,5,4,0.977306,0.964685,0.964685,0.964685
coauthor-physics,4,7697,5,4,0.976972,0.964718,0.964718,0.964718
coauthor-physics,6,7697,5,4,0.976836,0.964417,0.964417,0.964417
coauthor-physics,8,7697,5,4,0.976861,0.964353,0.964353,0.964353
coauthor-physics,10,7697,5,4,0.976919,0.964364,0.964364,0.964364
coauthor-physics,12,7697,5,4,0.976966,0.964336,0.964336,0.964336
coauthor-physics,20,7264,5,4,0.975946,0.962321,0.962321,0.962321
coauthor-physics,30,4968,5,4,0.967797,0.949104,0.949104,0.949104
cora,1,1427,7,6,1.0,1.0,1.0,1.0
cora,2,1427,7,6,1.0,1.0,1.0,1.0
cora,4,1427,7,6,1.0,1.0,1.0,1.0
cora,6,1427,7,6,1.0,1.0,1.0,1.0
cora,8,1427,7,6,1.0,1.0,1.0,1.0
cora,10,1427,7,6,1.0,1.0,1.0,1.0
cora,12,1427,7,6,1.0,1.0,1.0,1.0
cora,20,1262,7,6,1.0,1.0,1.0,1.0
cora,30,862,7,6,1.0,1.0,1.0,1.0
ogbn-arxiv,1,128,40,39,0.776102,0.699493,0.615381,0.324329
ogbn-arxiv,2,128,40,39,0.826072,0.748437,0.664494,0.361002
ogbn-arxiv,4,128,40,39,0.825799,0.754933,0.676143,0.378764
ogbn-arxiv,6,128,40,39,0.827599,0.757808,0.679842,0.385325
ogbn-arxiv,8,128,40,39,0.828478,0.759045,0.681163,0.387606
ogbn-arxiv,10,128,40,39,0.828593,0.759192,0.681538,0.387644
ogbn-arxiv,12,128,40,39,0.828241,0.758645,0.680861,0.386374
ogbn-arxiv,20,128,40,39,0.825064,0.753586,0.672586,0.375898
ogbn-arxiv,30,128,40,39,0.820425,0.746177,0.659311,0.360586
pubmed,1,500,3,2,1.0,1.0,1.0,1.0
pubmed,2,500,3,2,1.0,1.0,1.0,1.0
pubmed,4,500,3,2,1.0,1.0,1.0,1.0
pubmed,6,500,3,2,1.0,1.0,1.0,1.0
pubmed,8,500,3,2,1.0,1.0,1.0,1.0
pubmed,10,500,3,2,1.0,1.0,1.0,1.0
pubmed,12,500,3,2,1.0,1.0,1.0,1.0
pubmed,20,500,3,2,1.0,1.0,1.0,1.0
pubmed,30,500,3,2,1.0,1.0,1.0,1.0
wikics,1,300,10,9,0.955122,0.928724,0.898201,0.898201
wikics,2,300,10,9,0.963476,0.932662,0.901123,0.901123
wikics,4,300,10,9,0.962496,0.926625,0.891078,0.891078
wikics,6,300,10,9,0.968172,0.925434,0.888799,0.888799
wikics,8,300,10,9,0.972456,0.924106,0.888953,0.888953
wikics,10,300,10,9,0.979319,0.92566,0.890199,0.890199
wikics,12,300,10,9,0.983731,0.926634,0.890831,0.890831
wikics,20,300,10,9,0.989331,0.925951,0.888255,0.888255
wikics,30,300,10,9,0.991758,0.926717,0.887077,0.887077
