k,sgc_mlp,restr_std,restr_rn,part_a,part_b,rem_gap,n_runs,fisher_score,fisher_score_X_diffused,log_magnitude,dual_stream,spec_alpha-1.0,spec_alpha-0.5,spec_alpha0.0,spec_alpha0.5,spec_alpha1.0,best_spectral_alpha,part_b6,part_b5_logmag,part_b5_dual,best_nested_spheres_key,part_b6_nested
1,94.5989,89.9465,90.5749,4.6524,0.6283,4.0241,15,0.14519200610764607,0.15633002219866976,,,,,,,,,,,,,
2,94.5544,90.6016,91.8761,3.9528,1.2745,2.6783,15,0.11107092645594598,0.14768144588437035,,,,,,,,,,,,,
4,93.4804,90.41,91.6533,3.0704,1.2433,1.8271,15,0.09287518747599066,0.11045993630627784,,,,,,,,,,,,,
6,92.4421,91.1943,91.8895,1.2478,0.6952,0.5526,15,0.08748841667525818,0.08837702847463695,,,,,,,,,,,,,
8,91.4884,91.426,91.7424,0.0624,0.3164,-0.254,15,0.08594421644404107,0.07269749229398528,,,,,,,,,,,,,
10,90.6818,91.3057,91.6221,-0.6239,0.3164,-0.9403,15,0.08540097549917403,0.0608185507738849,92.2103,92.0499,92.6515,92.2148,91.9608,92.0009,91.7825,-1.0,1.0294119517008369,0.5882354577382358,0.42780756950376997,nested_spheres_a-1.0_b-0.5,1.047236919403062
12,90.2362,91.1096,91.7424,-0.8734,0.6328,-1.5062,15,0.08511959846971687,0.05149465877154497,,,,,,,,,,,,,
20,86.4483,91.3547,91.533,-4.9064,0.1783,-5.0847,15,0.08462985731755,0.02867181014206191,,,,,,,,,,,,,
30,81.7647,91.2121,92.1168,-9.4474,0.9046,-10.3521,15,0.06556510061163089,0.01660538057548098,,,,,,,,,,,,,
