Dataset,Method,Accuracy (%),Parameters,Acc/Param Ratio
ogbn-arxiv,SGC+MLP,70.84,"108,544",0.6527
ogbn-arxiv,Full+RowNorm,70.17,"108,288",0.6480
ogbn-arxiv,JL Binary (2nc),67.91,"96,256",0.7055
ogbn-arxiv,JL Ortho (2nc),67.79,"96,256",0.7043
wikics,SGC+MLP,76.08,"144,896",0.5251
wikics,Full+RowNorm,65.02,"144,640",0.4495
wikics,JL Binary (2nc),52.79,"73,216",0.7211
wikics,JL Ortho (2nc),51.43,"73,216",0.7024
amazon-computers,SGC+MLP,83.83,"264,448",0.3170
amazon-computers,Full+RowNorm,90.13,"264,192",0.3411
amazon-computers,JL Binary (2nc),79.94,"73,216",1.0918
amazon-computers,JL Ortho (2nc),79.63,"73,216",1.0876
pubmed,SGC+MLP,85.12,"194,304",0.4381
pubmed,Full+RowNorm,83.95,"194,048",0.4326
pubmed,JL Binary (2nc),45.89,"67,840",0.6764
pubmed,JL Ortho (2nc),46.55,"67,840",0.6861
cora,SGC+MLP,85.22,"434,176",0.1963
cora,Full+RowNorm,77.23,"432,384",0.1786
cora,JL Binary (2nc),37.76,"70,912",0.5325
cora,JL Ortho (2nc),38.74,"70,912",0.5463
citeseer,SGC+MLP,73.36,"1,015,040",0.0723
citeseer,Full+RowNorm,73.44,"567,552",0.1294
citeseer,JL Binary (2nc),37.23,"70,144",0.5307
citeseer,JL Ortho (2nc),38.93,"70,144",0.5551
